id;data_inicial;data_final;lingua
1;2019-12-14T21:05:44;2019-12-15T03:18:29;ENGLISH
2;2019-12-15T12:41:17;2019-12-15T00:03:24;ENGLISH
3;2019-12-15T02:45:31;2019-12-15T15:08:59;ENGLISH
4;2019-12-15T08:44:29;2019-12-15T08:57:00;PORTUGUESE
5;2019-12-15T20:36:26;2019-12-14T21:51:45;ENGLISH
6;2019-12-14T22:03:11;2019-12-15T09:17:13;PORTUGUESE
7;2019-12-15T13:49:49;2019-12-15T06:24:32;PORTUGUESE
8;2019-12-15T02:48:38;2019-12-14T22:09:32;ENGLISH
9;2019-12-15T19:29:09;2019-12-14T20:57:55;ENGLISH
10;2019-12-15T18:03:28;2019-12-14T21:37:12;ENGLISH
